回测数据基于币安usdt现货的分钟数据
para,累计净值,年化收益,最大回撤,年化收益回撤比
"[960, 2.5]",105.02409081160928,2.6049185466583347,-0.6243509395873247,4.172202493008339
"[980, 2.5]",107.69232148178222,2.629923020730929,-0.6463967520209679,4.0685894731191645
"[1000, 2.5]",99.80021803622749,2.554600099013978,-0.658280480993746,3.8807167655306007
"[940, 2.5]",81.68006838733962,2.363695698670412,-0.6113628407542206,3.8662730887510093
"[580, 4.5]",18.536319585512373,1.2354219955865244,-0.3875644335160505,3.187655751531599
"[920, 2.5]",52.37173398124634,1.976028104178201,-0.6467696516690696,3.0552270025020722
"[140, 3.0]",39.88515079156985,1.7608800417788566,-0.5968142521961771,2.950465802884417
"[220, 1.5]",52.160263334466286,1.9751744734487406,-0.676699864307796,2.9188338547535677
"[560, 4.5]",16.28946936048491,1.157240482958172,-0.40096378606485794,2.886147136417408
"[540, 4.5]",16.290842042720843,1.1572905663413602,-0.40939057205436,2.8268617924784354
"[660, 1.0]",54.17786940276089,2.0064467643693127,-0.7207934762907754,2.7836638792772477
"[200, 2.5]",41.73067369102371,1.7955019382658257,-0.6555899322070592,2.738757644159094
"[960, 3.0]",53.936678427409326,2.0002683877950216,-0.739889552346847,2.7034688913370837
"[240, 1.5]",40.58017139460616,1.7763496954641478,-0.6716189520022415,2.6448772628712525
"[340, 1.5]",49.201954980000224,1.927696747545307,-0.7508263529290145,2.5674335217793796
"[980, 3.0]",48.46203645299722,1.9130870918559908,-0.7536157843867297,2.5385443504382073
"[520, 4.5]",12.595202358608995,1.009662097038813,-0.40480561824277184,2.494189931013492
"[180, 2.0]",31.339731938714998,1.5855697457569904,-0.6359369664451526,2.493281298963048
"[1000, 3.0]",44.16948344422883,1.8395917506189243,-0.7558334498380519,2.4338586113291005
"[920, 3.0]",39.01026849665394,1.7440605756850704,-0.7245292449567674,2.407163807154725
"[860, 2.5]",29.64583031205266,1.5441814568403625,-0.6443321099410271,2.396561389718254
"[680, 1.0]",42.451793567767595,1.811055031920878,-0.7592894959662422,2.3851970052821554
"[620, 4.0]",20.731783541214245,1.3054365535464267,-0.5509003867765467,2.369641744462835
"[260, 1.5]",34.51543107132958,1.6552492973653208,-0.7074662839767174,2.3396864767336316
"[700, 3.0]",29.547946927957163,1.5418642818844734,-0.6655585243386104,2.316647185034073
"[180, 1.0]",31.242871418604366,1.5833656022407645,-0.6835886235450241,2.3162550512171842
"[380, 1.5]",36.85070494444939,1.7035778701398616,-0.7369638664565226,2.3116165495752496
"[940, 3.0]",35.28653025461261,1.669251586401451,-0.7280952471110098,2.292628049729525
"[640, 1.0]",39.50737725623332,1.7559311457360418,-0.7796196380211469,2.2522920923246588
"[200, 2.0]",29.547256117922338,1.5439531029506428,-0.6873435299493595,2.246261200806523
"[640, 4.5]",15.23636605035403,1.1178811732697391,-0.5010988820457993,2.2308594437605773
"[460, 1.5]",29.75021904667674,1.5487557006411876,-0.6947112323817268,2.229351748540873
"[160, 1.5]",43.919804025127455,1.8375083484985666,-0.8243292782963673,2.2290950920682158
"[620, 4.5]",15.186401967266042,1.1159654183409446,-0.5085446621741954,2.194429518874166
"[700, 1.0]",34.70041153505654,1.6591624048906763,-0.7608537633447321,2.1806587347310438
"[180, 1.5]",23.022870697216323,1.3749525228216348,-0.6331895233747573,2.1714707399033517
"[620, 1.0]",34.53629634808948,1.6556914440234625,-0.7633893675829588,2.1688688817683013
"[540, 1.0]",30.451429778454997,1.5651675605824247,-0.7278739938602753,2.1503276305855743
"[180, 2.5]",23.778526441109047,1.3941955432246438,-0.6563734011540678,2.1240890334271634
"[740, 4.5]",16.447401923296415,1.1629828255347148,-0.5511460612519674,2.110117276158913
"[580, 1.0]",30.527201522406767,1.5669245515824395,-0.7458873695675694,2.10075222548797
"[600, 1.0]",30.525910165572377,1.5668946341507954,-0.7561354320980621,2.0722407225423964
"[180, 3.0]",15.519652543652215,1.12865791577941,-0.5523576299850296,2.0433462932520725
"[920, 2.0]",35.86489659361455,1.6812346195423555,-0.8234967049769376,2.041580263019315
"[800, 2.5]",21.308961303272206,1.3229446448348638,-0.6490619185889626,2.0382410474965136
"[200, 1.5]",22.655039225059603,1.3644372863463246,-0.6822167528487381,2.000005541712121
