回测数据基于币安usdt现货的分钟数据
para,累计净值,年化收益,最大回撤,年化收益回撤比
"[520, 2.5]",727.5933054025179,5.14442030918756,-0.7134159260760338,7.210969255316685
"[360, 2.0]",749.1642435284689,5.217219286487653,-0.8440605960962252,6.181095659028817
"[360, 2.5]",620.4745115385226,4.880649410825303,-0.8094624489426766,6.029494533317053
"[380, 2.5]",507.20228358805224,4.5629649905759955,-0.7781962132693685,5.863514770145186
"[540, 2.5]",442.404811137795,4.357369959270017,-0.7507253840990498,5.804212900699134
"[380, 2.0]",571.0881592413303,4.74779375367941,-0.818707698110717,5.799131685991974
"[440, 3.0]",533.9217548594465,4.642209759317305,-0.801674470595915,5.79064187470829
"[500, 2.5]",417.54834097483143,4.2726958054034965,-0.7536083282740699,5.669650460457247
"[460, 3.0]",382.9262681551049,4.1484420433608475,-0.7328511027073019,5.660688819373614
"[400, 2.0]",509.88279555801773,4.571049461900706,-0.8124413470174552,5.626313183938061
"[340, 2.0]",403.8088186408113,4.243832072040888,-0.7667314000623463,5.5349657933610175
"[380, 3.5]",301.5837077369016,3.820625164734971,-0.7123635393027272,5.36330813403878
"[920, 1.5]",375.554327835495,4.140073800607159,-0.773086126371558,5.35525559104054
"[360, 3.5]",288.2214926317164,3.760810513598228,-0.705647274842566,5.329589793197015
"[800, 2.0]",334.7496432116989,3.9797422710079733,-0.749636824633946,5.308893773930216
"[320, 3.5]",242.90772661934514,3.5416595513789204,-0.6730633228226837,5.26200051508669
"[400, 3.5]",314.4413000856272,3.876394610191917,-0.7380857313742614,5.251957117467039
"[340, 4.0]",171.72827103459977,3.1278394332316024,-0.5985202080601331,5.225954597872742
"[460, 2.5]",313.7366687023194,3.8733815171644377,-0.7455345093399613,5.195442288236436
"[900, 1.5]",344.81232757699667,4.020542720020037,-0.7763649539995112,5.178676213175084
"[900, 2.0]",285.590853042521,3.7665405087359938,-0.7349925750184041,5.124596678601386
"[380, 4.0]",134.54050334564047,2.859417507144424,-0.5587580292426901,5.117452202020114
"[360, 4.0]",117.7816073872648,2.720522843042857,-0.5323144543501616,5.110743886081424
"[80, 3.5]",175.19244424865494,3.150615064278367,-0.6239263333344549,5.04965874326943
"[880, 2.0]",275.776113809438,3.7208361730502,-0.73888200680549,5.035765032548298
"[340, 2.5]",384.0323333973739,4.1525348946286655,-0.8313470404627332,4.994947588094302
"[480, 3.0]",363.7991933405961,4.076270672596411,-0.8205950496322351,4.9674570598777885
"[440, 2.0]",296.9964520987115,3.800311219726141,-0.7682988676637404,4.946397007302911
"[820, 2.0]",298.9348359791136,3.8268886542182567,-0.7741702068680624,4.943213546927998
"[920, 2.0]",271.3293626864152,3.6997403473847985,-0.7574818741935506,4.884262545983307
"[700, 2.5]",225.1533877107635,3.4476741313685553,-0.7061801846888344,4.882145104209786
"[300, 3.0]",192.73345175746726,3.2611821269455152,-0.6758893460230625,4.825023720427512
"[480, 2.5]",273.0577848310609,3.6904462609850066,-0.7770517246514297,4.749292928524763
"[340, 3.5]",228.7159529290217,3.4669530135850772,-0.7423297991985032,4.6703675607908535
"[420, 3.0]",187.05731226135615,3.2262317092398565,-0.6988833506807326,4.61626637134425
"[420, 2.0]",297.09717080997365,3.8007596690741785,-0.8236580226421488,4.614487523453017
"[380, 4.5]",75.71473341062529,2.2940810408361836,-0.5045557431466512,4.546734571940844
"[1000, 1.5]",197.55842892331165,3.3063383850046675,-0.7438524366885535,4.4448847942525616
"[340, 1.5]",256.0620856855248,3.625347356195322,-0.8229897116021674,4.405094383425065
"[360, 1.5]",226.76667635570377,3.47308081084313,-0.7930087459855748,4.3796248508289555
"[420, 3.5]",207.8881348131597,3.350977627861006,-0.7673850588287471,4.366748595516797
"[620, 2.0]",232.59978321459522,3.487724129844021,-0.798975350885886,4.365246219394516
"[300, 2.0]",169.77337975344426,3.130212483777722,-0.7185893036880695,4.356052153451629
"[860, 2.0]",187.17925930843163,3.2427825870045757,-0.7465060748831779,4.343946681896788
"[280, 3.5]",173.1778708261217,3.1374101391548033,-0.7309093089665912,4.292475277939317
"[580, 2.0]",178.69391202774892,3.173306702407345,-0.7407947881520254,4.283651495879749
"[700, 2.0]",221.14650953530457,3.425724936418333,-0.8025637599171933,4.26847698277803
"[320, 1.5]",206.32721878013538,3.358173835619181,-0.7904561111109906,4.248400117875296
"[680, 2.0]",215.86130799807248,3.3963281384076778,-0.8024118020279126,4.232649781351961
"[560, 2.5]",215.44522822536143,3.3939918103834223,-0.8036786998112743,4.223070502155183
"[300, 3.5]",130.38908787174498,2.8262343474550584,-0.6699473435140579,4.218591766676292
"[480, 2.0]",160.14026519276814,3.049146181158429,-0.7270474706353642,4.193874959077694
"[420, 1.5]",248.41272376420974,3.5868599507565104,-0.8556710576750617,4.19186779613926
"[1000, 1.0]",195.02383211698734,3.2910455305434922,-0.791863639424574,4.156076080137997
"[600, 2.0]",205.54924879435526,3.3374356371095466,-0.8050651444845127,4.145547301326185
"[720, 2.0]",208.53436811824335,3.354699800283126,-0.8108196814710574,4.137417821674909
"[840, 2.0]",188.60605572688644,3.2516684148961543,-0.7886731396175096,4.122960769873749
"[480, 1.5]",224.6605898251843,3.461596401866468,-0.8428596333615717,4.106966646463547
"[300, 1.5]",159.6050413966884,3.060526740539162,-0.748749985844685,4.087514922736859
"[400, 1.5]",243.3511730516407,3.56091844348522,-0.8734281774252515,4.076944774076705
"[940, 2.0]",168.45663068139189,3.1213619761694105,-0.7724136265553992,4.041049858337189
"[560, 2.0]",195.21423713253913,3.2762234436176483,-0.8133747089547056,4.027938670269242
"[740, 2.0]",198.56959268808953,3.2963486329479235,-0.819878736164832,4.020531924473781
"[380, 3.0]",153.65548689777052,3.003292827434991,-0.7492752650121356,4.008263675147942
"[360, 4.5]",75.88258122929433,2.2960913348473433,-0.5751159791882838,3.992397043267754
"[580, 2.5]",188.5382183355619,3.2354235597726646,-0.8135929701917161,3.976710318687077
"[720, 2.5]",133.90805516826688,2.8544105599222633,-0.7183450178791384,3.9735927567921383
"[440, 1.5]",207.16594617256632,3.3630476479870817,-0.846516316397651,3.9728090089255765
"[940, 1.5]",166.71659304059455,3.1095891318413704,-0.7865297566446575,3.953555610034264
"[460, 2.0]",181.09716224639632,3.1886954507118377,-0.8127377873842218,3.923400019303375
"[460, 1.5]",193.0009735823163,3.2787366689134236,-0.8453980849356233,3.8783346299667785
"[880, 1.5]",158.6515975058693,3.053829261331206,-0.7886192403645618,3.872374784971625
"[440, 2.5]",155.66211260612036,3.0176288968878238,-0.7817526676748827,3.8600813552232136
"[500, 2.0]",165.03591987881688,3.0828795381009764,-0.798933511810562,3.858743553158112
"[200, 3.5]",65.59523287971815,2.1664142168610914,-0.5684597098387618,3.8110250900201423
"[580, 1.5]",169.18801384785468,3.126284118716711,-0.8218169630923928,3.8041124229815133
"[380, 1.5]",176.06195091953418,3.1718082492598763,-0.8423221273858486,3.7655525672863432
"[640, 2.0]",140.04441315392924,2.9022865628382313,-0.7892548589615208,3.67724890114326
"[540, 1.5]",133.16704971131136,2.862900369463423,-0.7806637029410861,3.6672646091750933
"[180, 3.5]",72.22897862797639,2.251583208938264,-0.6148481042096059,3.6620153718009743
"[1000, 2.0]",125.39298563435885,2.799410285544259,-0.7683886732305356,3.643221696351537
"[680, 2.5]",147.909846993814,2.961479247084346,-0.8135196824578425,3.6403289446384273
"[300, 2.5]",118.93119347893487,2.7444294874160162,-0.7544889669652384,3.637468018193645
"[300, 4.0]",74.76221490461917,2.2826112690045646,-0.6375403618799027,3.580340015295461
"[320, 4.0]",66.61310313284655,2.1798759160930747,-0.6134883851344828,3.5532472478924344
"[640, 3.0]",142.7887496612538,2.923206954529218,-0.8275071295435423,3.532545944518539
"[400, 2.5]",130.228807850887,2.824937939654062,-0.8006868909152458,3.5281431127527814
