strategy_name,symbol,周期,leverage,para,累计净值,年化收益,最大回撤,年化收益回撤比
signal_simple_bolling,BTC,15T,2,"[300, 2.9, 10.0]",543.527909497211,4.669997229382488,-0.4790124456063592,9.749218986306207
signal_simple_bolling,BTC,15T,2,"[360, 3.1, 11.5]",357.5517177726488,4.05210236985257,-0.4608743882055897,8.792205584756825
signal_simple_bolling,BTC,15T,2,"[300, 2.9, 9.5]",319.0346631142491,3.8959174701432575,-0.4790124456063552,8.133228073461916
signal_simple_bolling,BTC,1H,2,"[880, 3.1, 14.5]",886.7761535998374,5.489221132516818,-0.4670171780408234,11.75378849134536
signal_simple_bolling,BTC,1H,2,"[880, 3.1, 14.0]",699.9845307770642,5.079799371846535,-0.4869630127433105,10.431591802485038
signal_simple_bolling,BTC,1H,2,"[880, 3.1, 15.0]",518.4023487601784,4.596996573474339,-0.467017178040824,9.843313671585108
signal_simple_bolling,BTC,30T,2,"[980, 2.3, 20.0]",420.9322394968841,4.28457260376964,-0.5251855567872172,8.158207224852465
signal_simple_bolling,BTC,30T,2,"[980, 2.3, 18.5]",463.7154747126877,4.427406554207725,-0.5451136402784618,8.121988200379764
signal_simple_bolling,BTC,30T,2,"[980, 2.3, 19.5]",408.7827695304153,4.242101502096306,-0.5251855567872192,8.077338470705522
signal_simple_bolling,ETH,15T,2,"[440, 3.3, 14.0]",3340.6792286443174,8.350915550710356,-0.4981720841625029,16.763114225377393
signal_simple_bolling,ETH,15T,2,"[460, 3.3, 14.0]",2178.9093920493942,7.312287621407478,-0.513160855901191,14.249503907631368
signal_simple_bolling,ETH,15T,2,"[440, 3.3, 16.5]",2577.668782588586,7.706217647516061,-0.5447134879853976,14.147286266064784
signal_simple_bolling,ETH,1H,2,"[220, 1.7, 17.5]",6680.271920229196,10.375871513535069,-0.657280348127053,15.786066848189718
signal_simple_bolling,ETH,1H,2,"[220, 1.7, 18.0]",5640.577604538539,9.857799014880058,-0.6759650762743308,14.583296328284586
signal_simple_bolling,ETH,1H,2,"[220, 1.7, 17.0]",5566.853685348453,9.8185116932702,-0.6892034796178135,14.246172550833458
signal_simple_bolling,ETH,30T,2,"[200, 1.7, 15.5]",9930.325997094576,11.591304354546155,-0.7407286951104084,15.64851534854935
signal_simple_bolling,ETH,30T,2,"[200, 1.7, 15.0]",8898.359702761853,11.216349624489691,-0.7407286951104074,15.142318231397622
signal_simple_bolling,ETH,30T,2,"[200, 1.7, 16.0]",7528.343732316894,10.666381267761224,-0.7411579884386819,14.391508199528344
